,product,price,brand,description,gender,discount,link
0,Peter Pan Collar Shirt Style Top,269,encore by INVICTUS,"White and black regular shirt style top, Solid, Peter pan collar, sleeveless, no sleeves sleeves, Tie-ups detail, Woven, Button closure",Female,0.73,https://www.myntra.com/tops/encore+by+invictus/encore-by-invictus-peter-pan-collar-shirt-style-top/23097322/buy
1,Men Casual Shorts,423,HRX by Hrithik Roshan,"Grey solid mid-rise regular shorts, has 2 pockets, drawstring closure, above knee length and regular fit",Male,0.47,https://www.myntra.com/shorts/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-men-casual-shorts/29144544/buy
2,Opaque Sleeveless Casual Shirt,384,encore by INVICTUS,"White solid opaque casual shirt, has a spread collar, button placket, sleeveless no sleeves, curved hem",Female,0.65,https://www.myntra.com/shirts/encore+by+invictus/encore-by-invictus-opaque-sleeveless-casual-shirt/26830014/buy
3,Women Black Relaxed Straight Fit High-Rise Easy Wash Trousers,359,Kotty,"Black knitted parallel
 Straight fit
 Brand Fit: relaxed
 High-rise
 Length: regular
 Pattern: solid
 Flat-front, with no pleats design
 Feature: easy wash
 Na pockets",Female,0.82,https://www.myntra.com/trousers/kotty/kotty-women-black-relaxed-straight-fit-high-rise-easy-wash-trousers/19460432/buy
4,Mandarin Collar Floral Printed Checked Kurta,899,Anouk,"Colour: Maroon
 Checked printed
 Mandarin collar
 Half placket 
 Button Closure
 Long regular sleeves
 Straight shape with regular style
 Above knee with curved hem
 Machine weave
 Regular polyester",Male,,https://www.myntra.com/kurtas/anouk/anouk-mustard-yellow-floral-printed-cotton-mirror-work-floral-straight-kurta/26893958/buy
5,Women Classic Formal Shirt,569,Style Quotient,"Lime green solid opaque Formal shirt ,has a spread collar, button placket, long regular sleeves, curved hem",Female,0.62,https://www.myntra.com/shirts/style+quotient/style-quotient-women-classic-formal-shirt/19761206/buy
6,Magneteyes Kajal with Almond Oil - Black 01,149,FACES CANADA,"The Faces Canada MagnetEyes kajal is the new age kohl you all need to make a bold statement! It is waterproof, fadeproof and does not smudge for upto 24hrs, so that you have gorgeous looking deep black eyes all day long.
 
 The MagnetEyes Kajal has one of its kind formulation and comes in retractable packaging for easy application and glides off easily on waterline and lids. The Faces Canada MagnetEyes Kajal is highly pigmented and is loaded with the nourishment of Vitamin-E, mineral and antioxidants and is free from parabens. The Faces Canada MagnetEyes Kajal is a multi-purpose 3-in-1 product that easily works as a Kajal, eye liner and even as a smokey eye shadow.
 
 Formulated in Germany, and tested dermatologically and ophthalmologically, this Kajal is suitable for everyone including contact lens users. Get intense black eyes that look fresh all day as if you have just applied the Kajal !",Female,0.21,https://www.myntra.com/kajal/faces+canada/faces-canada-magneteyes-kajal-with-almond-oil---black-01/8886405/buy
7,Black & Golden Zari Embroidered Liva A-Line Top,503,Shae by SASSAFRAS,"Black and golden regular a-line top
 Zari Geometric embroidered
 Shoulder straps
 Woven liva
 Concealed zip closure",Female,0.64,https://www.myntra.com/tops/shae+by+sassafras/shae-by-sassafras-black--golden-zari-embroidered-liva-a-line-top/14572254/buy
8,Abstract Printed Cowl Neck Top,625,her by invictus,"Pink and brown regular top
 Abstract print
 Cowl neck, sleeveless
 Gathered or pleated detail
 Woven",Female,0.43,https://www.myntra.com/tops/her+by+invictus/her-by-invictus-abstract-printed-cowl-neck-top/21629630/buy
9,Women Green Floral Printed Loose Fit High-Rise Shorts,511,Berrylush,"Green floral printed high-rise regular shorts, has slip-on closure",Female,0.68,https://www.myntra.com/shorts/berrylush/berrylush-women-green-floral-printed-loose-fit-high-rise-shorts/22726966/buy
10,Bandhani Printed Kurta,659,anayna,"Colour: pink
 Bandhani printed
 V-neck
 Three-quarter, regular sleeves
 A-line shape with angrakha style
 Calf length with flared hem
 Machine weave regular cotton",Female,0.7,https://www.myntra.com/kurtas/anayna/anayna-bandhani-printed-kurta/22143844/buy
11,Women Gorgeous Red Floral Ruched Dress,873,Berrylush,"Perfect for a modern look, this dress speaks volumes about your style and attitude. Its floral pattern, sleeveless design and flounced hemline, give you an appealing look. 
 Gorgeous red hue
 Beautiful floral pattern
 Sleeveless
 Flounced hemline
 Polyester, machine wash",Female,0.62,https://www.myntra.com/dresses/berrylush/berrylush-women-gorgeous-red-floral-ruched-dress/15583258/buy
